Period,TPU,GPR,DMGSRMRCHSACD,IPTOTSAKD,IMPCOV,NEER,REER,RETSALESSA,TOTRESV,UNEMPSA_,GEPU
2017-12-01,46.75210384467301,82.71825408935547,2635911.28559082,1678826825019.35,4.59696037489,100.44439347882,101.31856853948,99.44095248996,12117179.7315809,6.83570721308,149.53968961817358
2018-01-01,73.21468799279117,92.42678833007812,2687086.58502858,1676365019807.24,4.57058313765,99.99640634007,100.96702714961,102.83366836232,12281552.6349381,6.75556968731,151.64425402035806
2018-02-01,57.02965542081883,64.49137115478516,2775131.45650178,1681379455497.65,4.40321482258,99.81623407179,100.63682962382,102.55206689329,12219499.9638687,6.77504328151,124.83537407298112
2018-03-01,260.5556427562392,111.96229553222656,2628246.23017317,1683195980157.44,4.67152698662,99.891132895,100.53766244687,103.02857838904,12277923.1917468,6.72419907876,168.48453923984877
2018-04-01,174.20814479638008,123.26347351074219,2816089.07337611,1693082309202.76,4.33774478449,99.84618704941,100.46178015394,99.43839105825,12215475.6907009,6.68819295524,157.69408543256313
2018-05-01,152.24991541671366,125.66661834716797,2843517.68066664,1693229661054.3,4.27639463736,100.5040015586,100.94217287167,100.71283003318,12160003.760841,6.6209412424,175.91278050237295
2018-06-01,228.62316790221269,103.96858978271484,2681274.03066395,1693127128508.74,4.52611288028,100.90201108668,101.29257557217,100.64019231655,12135748.9257519,6.65231101914,178.33741282732828
2018-07-01,246.381805651275,110.02842712402344,2864028.61292541,1698602173435.29,4.23615794115,100.89990037482,101.38065372712,97.51763651034,12132477.5523123,6.58664900533,223.66435764095135
2018-08-01,225.82880905625507,112.74168395996094,2572679.02471072,1706900504306.98,4.71048846191,101.09061701988,101.47659079687,97.78875136625,12118574.8620952,6.5912190192,180.0514080549699
2018-09-01,150.10885756846568,75.05390930175781,2911874.58750885,1698073588266.46,4.14251375315,101.17473494677,101.26898021008,97.59611770328,12062480.5262073,6.55955931321,195.98495849542607
2018-10-01,155.20703315786616,92.0164794921875,2906413.88918212,1710294843689.67,4.11879726352,101.28043625041,101.61986970262,96.60515035825,11970929.5734316,6.5995462755,221.78458161225208
2018-11-01,144.83103046445814,80.40758514404297,2744887.05200379,1703778153701.66,4.3809275723,101.53964656443,102.07030616624,97.07533131931,12025151.3689818,6.60847736051,247.29985030033677
